antigen_group,split,n_entries
homo-sapiens/interleukin-8,train,1
homo-sapiens/interleukin-9,train,3
homo-sapiens/isoform-2-of-basigin,train,1
homo-sapiens/kallikrein-5,eval,1
homo-sapiens/killer-cell-immunoglobulin-like-receptor-2dl3,test,1
homo-sapiens/leukemia-inhibitory-factor,train,1
homo-sapiens/leukocyte-immunoglobulin-like-receptor-subfamily-b-member-4,train,1
homo-sapiens/leukocyte-surface-antigen-cd47,train,2
homo-sapiens/low-affinity-immunoglobulin-gamma-fc-region-receptor-iii-a,train,1
homo-sapiens/lysosome-associated-membrane-glycoprotein-1,eval,1
homo-sapiens/mesothelin-cleaved-form,test,3
homo-sapiens/neurogenic-locus-notch-homolog-protein-3,train,1
homo-sapiens/neuronal-acetylcholine-receptor-subunit-alpha-7,train,2
homo-sapiens/nucleoporin-nup35,test,1
homo-sapiens/phosphatidylinositol-4-5-bisphosphate-3-kinase-catalytic-subunit-gamma-isoform,train,1
homo-sapiens/plasma-kallikrein-light-chain,train,1
homo-sapiens/plasminogen-activator-inhibitor-1,train,2
homo-sapiens/platelet-glycoprotein-vi,train,2
homo-sapiens/programmed-cell-death-1-ligand-1,eval,4
homo-sapiens/programmed-cell-death-protein-1,train,12
homo-sapiens/proprotein-convertase-subtilisin-kexin-type-9,train,1
homo-sapiens/protein-arginine-deiminase-type-4,train,1
homo-sapiens/rac-alpha-serine-threonine-protein-kinase-non-specific-serine-threonine-protein-kinase-rac-alpha-serine-threonine-protein-kinase,eval,1
homo-sapiens/rho-related-gtp-binding-protein-rhob,train,1
homo-sapiens/serine-protease-htra1,test,1
homo-sapiens/serine-threonine-protein-kinase-sik3,train,2
homo-sapiens/serum-albumin,train,1
homo-sapiens/sialic-acid-binding-ig-like-lectin-15,train,1
homo-sapiens/sialic-acid-binding-ig-like-lectin-8,train,1
homo-sapiens/solute-carrier-family-40-member-1,train,2
homo-sapiens/spike-protein-s1,eval,1
homo-sapiens/t-cell-immunoreceptor-with-ig-and-itim-domains,train,4
homo-sapiens/t-cell-surface-glycoprotein-cd8-alpha-chain,train,2
homo-sapiens/t-complex-protein-1-subunit-epsilon,train,1
homo-sapiens/tapasin,train,1
homo-sapiens/transforming-growth-factor-beta-2,test,2
homo-sapiens/transforming-growth-factor-beta-3,test,1
homo-sapiens/trbv6-5,train,1
homo-sapiens/triggering-receptor-expressed-on-myeloid-cells-2,train,2
homo-sapiens/tryptase-alpha-beta-1,train,1
homo-sapiens/tumor-necrosis-factor-receptor-superfamily-member-4,train,4
homo-sapiens/tumor-necrosis-factor-receptor-superfamily-member-5,train,2
homo-sapiens/tumor-necrosis-factor-receptor-superfamily-member-9,train,5
homo-sapiens/tyrosine-protein-kinase-transmembrane-receptor-ror2,train,2
homo-sapiens/tyrosine-protein-phosphatase-non-receptor-type-substrate-1,eval,6
homo-sapiens/uncharacterized-protein-dkfzp686c11235,train,1
homo-sapiens/vitamin-k-dependent-protein-c-heavy-chain,eval,1
homo-sapiens/von-willebrand-factor,train,1
homo-sapiens/x16-ufo-gp41,test,1
human-astrovirus-8/capsid-polyprotein-vp70,train,1
human-astrovirus-8/capsid-protein-vp25,train,1
human-gammaherpesvirus-4/envelope-glycoprotein-h,train,2
human-gammaherpesvirus-4/envelope-glycoprotein-h;envelope-glycoprotein-l,train,1
human-hepatitis-a-virus-hu-australia-hm175-1976/vp3,train,1
human-herpesvirus-4-strain-b95-8/glycoprotein-42,eval,1
human-immunodeficiency-virus-1/426cod,train,1
human-immunodeficiency-virus-1/bg505-gp120,test,1
human-immunodeficiency-virus-1/clade-a-e-93th057-hiv-1-gp120-core,train,4
human-immunodeficiency-virus-1/cza97-12-sosip-664-envelope-glycoprotein-gp120,train,1
human-immunodeficiency-virus-1/env-outer-domain-eod-gt8,train,1
human-immunodeficiency-virus-1/envelope-glycoprotein-gp120,eval,2
human-immunodeficiency-virus-1/envelope-glycoprotein-gp120;envelope-glycoprotein-gp41,train,1
human-immunodeficiency-virus-1/glycoprotein-120,eval,1
human-immunodeficiency-virus-1/md65-n332-gt5-sosip-gp120,train,1
human-immunodeficiency-virus-1/mper-peptide-region-671-683-of-hiv-1-gp41,train,3
human-immunodeficiency-virus-1/surface-protein-gp120,train,1
human-immunodeficiency-virus-1/vrc42-epitope-t117-f-scaffold,test,1
human-immunodeficiency-virus-1/x18-ufo-gp41,train,1
human-immunodeficiency-virus/bg505-sosipv5-2-7s-gp120,train,1
human-metapneumovirus-a/fusion-glycoprotein,test,1
human-metapneumovirus/fusion-glycoprotein-f0,train,4
human-metapneumovirus/fusion-glycoprotein-f0-envelope-glycoprotein-fusion,train,1
human-respiratory-syncytial-virus-a/fusion-glycoprotein-f0,train,1
human-respiratory-syncytial-virus-a/rsv-fusion-glycoprotein,train,2
human-respiratory-syncytial-virus-a2/rsv-fusion-protein,train,1
human-respiratory-syncytial-virus-a2/s4-2-45,train,1
human-sars-coronavirus/spike-glycoprotein,test,2
influenza-a-virus/cobra-p1-ha,eval,1
influenza-a-virus/hemagglutinin,test,14
influenza-a-virus/hemagglutinin-envelope-glycoprotein,train,1
influenza-a-virus/hemagglutinin-ha1-chain,train,2
influenza-a-virus/hemagglutinin-head-domain,test,1
influenza-a-virus/neuraminidase,test,11
influenza-b-virus/hemagglutinin,train,2
influenza-b-virus/neuraminidase,train,2
lassa-mammarenavirus/glycoprotein-g1;glycoprotein-g2,train,1
lassa-mammarenavirus/glycoprotein-gp2,train,1
listeria-monocytogenes-serovar-1-2a/internalin-a,train,2
listeria-monocytogenes/inlb,train,1
louping-ill-virus/envelope,eval,1
lyssavirus-rabies/glycoprotein,train,1
macaca-fascicularis/c-x-c-motif-chemokine-2,train,1
macaca-fascicularis/c-x-c-motif-chemokine-3,test,1
macaca-fascicularis/c-x-c-motif-chemokine-7,train,1
middle-east-respiratory-syndrome-related-coronavirus/mers-cov-s1-ntd,train,1
middle-east-respiratory-syndrome-related-coronavirus/n-terminal-domain-of-spike-glycoprotein,train,1
middle-east-respiratory-syndrome-related-coronavirus/spike-glycoprotein,eval,1
middle-east-respiratory-syndrome-related-coronavirus/spike-protein,train,1
murine-norovirus-1/capsid-protein,test,1
mus-musculus/antigen-presenting-glycoprotein-cd1d1,train,1
mus-musculus/complement-c3,test,1
mus-musculus/major-prion-protein,train,1
mus-musculus/plexin-b1,train,2
mus-musculus/smoothened-homolog,train,1
mus-musculus/t-cell-surface-protein-tactile,train,1
mus-musculus/volume-regulated-anion-channel-subunit-lrrc8a,test,3
mycobacterium-tuberculosis-h37rv/phosphate-binding-protein-psts-1,train,2
mycolicibacterium-thermoresistibile/drug-abc-transporter-atp-binding-protein,train,1
mycoplasma-hyopneumoniae-j/46-kda-surface-antigen,train,1
neisseria-meningitidis-serogroup-b/lipoprot-c-domain-containing-protein,train,1
neisseria-meningitidis/factor-h-binding-protein,train,2
neisseria-meningitidis/lipoprotein-gna1870,test,1
nipah-henipavirus/fusion-glycoprotein-f0,test,5
nipah-henipavirus/glycoprotein-g,train,1
nipah-virus/fusion-glycoprotein-f0,test,2
ophiophagus-hannah/long-neurotoxin-2,train,1
pangolin-coronavirus/spike-protein-s1,eval,2
plasmodium-berghei/hapless-2,train,2
plasmodium-falciparum-3d7/cysteine-rich-protective-antigen,eval,3
plasmodium-falciparum-3d7/merozoite-surface-protein-1,train,3
plasmodium-falciparum-3d7/merozoite-surface-protein-p12,train,1
plasmodium-falciparum-3d7/surface-protein-p113,eval,1
plasmodium-falciparum-nf54/25-kda-ookinete-surface-antigen,eval,1
plasmodium-falciparum/25-kda-ookinete-surface-antigen,train,6
plasmodium-falciparum/circumsporozoite-protein,train,5
plasmodium-falciparum/cysteine-rich-protective-antigen,train,3
plasmodium-falciparum/cysteine-rich-small-secreted-protein-css-putative,train,1
plasmodium-falciparum/gametocyte-surface-protein-p230,eval,17
plasmodium-falciparum/gametocyte-surface-protein-p45-48,test,3
plasmodium-falciparum/pf48-45,train,2
plasmodium-falciparum/surface-protein-p12p,train,2
plasmodium-vivax-sal-1/reticulocyte-binding-protein-2b,train,1
plasmodium-vivax/duffy-binding-surface-protein-region-ii,train,2
plasmodium-vivax/duffy-receptor,train,1
plasmodium-vivax/plasmodium-vivax-reticulocyte-binding-protein-2b,test,1
plasmodium-vivax/reticulocyte-binding-protein-2b,eval,5
powassan-virus/envelope-protein-domain-iii,train,1
rabies-virus-strain-pasteur-vaccin/glycoprotein,eval,2
rattus-norvegicus/rhoa,train,1
rattus-norvegicus/solute-carrier-family-15-member-2,train,1
rattus-norvegicus/solute-carrier-family-22-member-6,eval,1
recombinant-hepatitis-c-virus-hk6a-jfh-1/envelope-glycoprotein-e2,test,2
respiratory-syncytial-virus/fusion-glycoprotein-f0,train,3
respiratory-syncytial-virus/fusion-glycoprotein-f1,train,1
rhodopseudomonas-palustris/specialized-acyl-carrier-protein,test,1
ricinus-communis/ricin-a-chain,train,7
ricinus-communis/ricin-chain-a,eval,2
rift-valley-fever-virus/nsmgngc,train,4
saccharomyces-cerevisiae/nucleoporin-nic96,train,1
salmonella-typhi/putative-pertussis-like-toxin-subunit,train,1
sars-coronavirus-b012/spike-protein-s1,train,1
sars-coronavirus-ma15/spike-glycoprotein,train,1
sars-cov-2_spike,train,83
severe-acute-respiratory-syndrome-coronavirus/spike-glycoprotein,train,2
severe-acute-respiratory-syndrome-coronavirus/spike-protein-s1,train,2
severe-acute-respiratory-syndrome-related-coronavirus/spike-glycoprotein,eval,1
staphylococcus-aureus-subsp-aureus-mu50/iron-regulated-surface-determinant-protein-b,train,1
staphylococcus-aureus-subsp-aureus-mu50/iron-regulated-surface-determinant-protein-h,test,1
synthetic-construct/de-novo-design-4e1h-95,train,1
synthetic-construct/de-novo-designed-protein-4h-01,train,1
thermotoga-maritima-msb8/cobalt-magnesium-transport-protein-cora,train,1
tick-borne-encephalitis-virus-european-subtype/envelope-protein-e,eval,1
tick-borne-encephalitis-virus/envelope-protein,train,1
yellow-fever-virus/envelope-protein,train,3
yellow-fever-virus/envelope-protein-e,test,1
zika-virus-zikv-h-sapiens-frenchpolynesia-10087pf-2013/env,train,2
zika-virus/core-protein,train,1
zika-virus/genome-polyprotein,train,1
zika-virus/ns1c,eval,1
